{ADD (1, 0, 14) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (5, 0, 5) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 4) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 3) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 3) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 4) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (10, 0, 5) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 7) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (12, 0, 7) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (12, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (15, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (15, 0, 3) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (15, 0, 2) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (15, 0, 1) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (15, 0, 0) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (14, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (13, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (13, 0, 3) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (13, 0, 2) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (13, 0, 1) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 2) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 2) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 1) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 0) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 1, 0) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 0) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (14, 0, 0) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (13, 0, 0) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 3) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 3) (0.000, 0.000, 0.000, 1.000) NULL} 
{RMV (13, 0, 1) (0.000, 0.000, 0.000, 1.000) NULL} 
{RMV (12, 0, 2) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (14, 0, 3) (0.000, 0.000, 0.000, 1.000) NULL} 
{RMV (13, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{RMV (15, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{RMV (14, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 2) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (12, 0, 1) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (13, 0, 1) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (14, 0, 1) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (14, 0, 2) (0.465, 0.465, 0.465, 1.000) NULL} 
{ADD (5, 0, 10) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 10) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 10) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (10, 0, 10) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (5, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 5) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 4) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 4) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (10, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 5) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (8, 0, 3) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (7, 0, 3) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (6, 0, 4) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (5, 0, 5) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (4, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (6, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (5, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (7, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (8, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (9, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (10, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (11, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (10, 0, 5) (1.000, 0.000, 0.000, 1.000) NULL} 
{RMV (9, 0, 4) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 10) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 10) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 9) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 8) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 7) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 6) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 6) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 5) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (10, 0, 5) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (10, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 3) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 3) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 3) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 3) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 10) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (3, 0, 10) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (3, 0, 9) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (3, 0, 8) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (3, 0, 7) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (3, 0, 6) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 6) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (4, 0, 5) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (5, 0, 5) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (5, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (5, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (10, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 11) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 10) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 10) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (5, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (10, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 9) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (10, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (5, 0, 8) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (10, 0, 7) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 7) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 7) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 7) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 7) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (5, 0, 7) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (9, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (6, 0, 6) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (8, 0, 5) (1.000, 0.000, 0.000, 1.000) NULL} 
{ADD (7, 0, 5) (1.000, 0.000, 0.000, 1.000) NULL} 
{BSH (3, 0, 11) (0.000, 0.000, 0.000, 1.000) (0.465, 0.465, 0.465, 1.000)} 
{BSH (2, 0, 11) (0.000, 0.000, 0.000, 1.000) (0.465, 0.465, 0.465, 1.000)} 
{BSH (1, 0, 11) (0.000, 0.000, 0.000, 1.000) (0.465, 0.465, 0.465, 1.000)} 
{BSH (0, 0, 11) (0.000, 0.000, 0.000, 1.000) (0.465, 0.465, 0.465, 1.000)} 
{BSH (1, 0, 12) (0.465, 0.465, 0.465, 1.000) (0.000, 0.000, 0.000, 1.000)} 
{BSH (3, 0, 12) (0.465, 0.465, 0.465, 1.000) (0.000, 0.000, 0.000, 1.000)} 
{BSH (0, 0, 11) (0.465, 0.465, 0.465, 1.000) (0.000, 0.000, 0.000, 1.000)} 
{ADD (2, 0, 10) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (1, 0, 10) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (0, 0, 10) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (11, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (12, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (13, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (14, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{ADD (15, 0, 4) (0.000, 0.000, 0.000, 1.000) NULL} 
{BSH (14, 0, 3) (0.000, 0.000, 0.000, 1.000) (0.465, 0.465, 0.465, 1.000)} 
{BSH (12, 0, 3) (0.000, 0.000, 0.000, 1.000) (0.465, 0.465, 0.465, 1.000)} 
{BSH (11, 0, 9) (1.000, 0.291, 0.260, 1.000) (0.835, 0.227, 0.200, 1.000)} 
{BSH (11, 0, 8) (1.000, 0.291, 0.260, 1.000) (0.835, 0.227, 0.200, 1.000)} 
{BSH (11, 0, 7) (1.000, 0.291, 0.260, 1.000) (0.835, 0.227, 0.200, 1.000)} 
{BSH (10, 0, 6) (1.000, 0.291, 0.260, 1.000) (0.835, 0.227, 0.200, 1.000)} 
{BSH (9, 0, 5) (1.000, 0.291, 0.260, 1.000) (0.835, 0.227, 0.200, 1.000)} 
{BSH (8, 0, 4) (1.000, 0.291, 0.260, 1.000) (0.835, 0.227, 0.200, 1.000)} 
{BSH (7, 0, 4) (1.000, 0.291, 0.260, 1.000) (0.835, 0.227, 0.200, 1.000)} 
{ADD (10, 1, 10) (1.000, 0.454, 0.430, 1.000) NULL} 
{ADD (9, 1, 10) (1.000, 0.454, 0.430, 1.000) NULL} 
{RMV (9, 1, 10) (1.000, 0.454, 0.430, 1.000) NULL} 
{RMV (10, 1, 10) (1.000, 0.454, 0.430, 1.000) NULL} 
{BSH (8, 0, 9) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (7, 0, 9) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (6, 0, 10) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (5, 0, 10) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (4, 0, 9) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (4, 0, 8) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (4, 0, 7) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (5, 0, 6) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (6, 0, 5) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (9, 0, 10) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (10, 0, 10) (1.000, 0.291, 0.260, 1.000) (1.000, 0.454, 0.430, 1.000)} 
{BSH (2, 0, 14) (0.000, 1.000, 0.962, 1.000) (0.450, 1.000, 0.979, 1.000)} 
{BSH (1, 0, 14) (0.000, 1.000, 0.962, 1.000) (0.450, 1.000, 0.979, 1.000)} 
{BSH (12, 0, 3) (0.000, 1.000, 0.962, 1.000) (0.450, 1.000, 0.979, 1.000)} 
{BSH (12, 0, 2) (0.000, 1.000, 0.962, 1.000) (0.450, 1.000, 0.979, 1.000)} 
{BSH (12, 0, 1) (0.000, 1.000, 0.962, 1.000) (0.450, 1.000, 0.979, 1.000)} 
{BSH (3, 0, 11) (0.000, 1.000, 0.962, 1.000) (0.000, 0.785, 0.755, 1.000)} 
{BSH (2, 0, 11) (0.000, 1.000, 0.962, 1.000) (0.000, 0.785, 0.755, 1.000)} 
{BSH (14, 0, 1) (0.000, 1.000, 0.962, 1.000) (0.000, 0.785, 0.755, 1.000)} 
{BSH (14, 0, 2) (0.000, 1.000, 0.962, 1.000) (0.000, 0.785, 0.755, 1.000)} 
{RMV (11, 1, 0) (0.095, 0.095, 0.095, 1.000) NULL} 
